# /media/filip/Drive/XY/2022oct/cal_m21_015487_2022-10-23.01-53.root
#eventId pulseBegin pulseEnd pulseLength type
1 100 350 250 0
2 100 350 250 0
3 100 350 250 0
4 100 350 250 0
5 100 350 250 0
6 100 350 250 0
7 100 350 250 0
8 100 350 250 0
9 100 350 250 0
10 100 350 250 0
11 100 350 250 0
12 100 350 250 0
13 100 350 250 0
14 100 350 250 0
15 100 350 250 0
16 100 350 250 0
17 100 350 250 0
18 100 350 250 0
19 100 350 250 0
20 100 350 250 0
21 100 350 250 0
22 100 350 250 0
23 100 350 250 0
24 100 350 250 0
25 100 350 250 0
26 100 350 250 0
27 100 350 250 0
28 100 350 250 0
29 100 350 250 0
30 100 350 250 0
31 100 350 250 0
32 100 350 250 0
33 100 350 250 0
34 100 350 250 0
35 100 350 250 0
36 100 350 250 0
37 100 350 250 0
38 100 350 250 0
39 100 350 250 0
40 100 350 250 0
41 100 350 250 0
42 100 350 250 0
43 100 350 250 0
44 100 350 250 0
45 100 350 250 0
46 100 350 250 0
47 100 350 250 0
48 100 350 250 0
49 100 350 250 0
50 100 350 250 0
51 100 350 250 0
52 100 350 250 0
53 100 350 250 0
54 100 350 250 0
55 100 350 250 0
56 100 350 250 0
57 100 350 250 0
58 100 350 250 0
59 100 350 250 0
60 100 350 250 0
61 100 350 250 0
62 100 350 250 0
63 100 350 250 0
64 100 350 250 0
65 100 350 250 0
66 100 350 250 0
67 100 350 250 0
68 100 350 250 0
69 100 350 250 0
70 100 350 250 0
71 100 350 250 0
72 100 350 250 0
73 100 350 250 0
74 100 350 250 0
75 100 350 250 0
76 100 350 250 0
77 100 350 250 0
78 100 350 250 0
79 100 350 250 0
80 100 350 250 0
81 100 350 250 0
82 100 350 250 0
83 100 350 250 0
84 100 350 250 0
85 100 350 250 0
86 100 350 250 0
87 100 350 250 0
88 100 350 250 0
89 100 350 250 0
90 100 350 250 0
91 100 350 250 0
92 100 350 250 0
93 100 350 250 0
94 100 350 250 0
95 100 350 250 0
96 100 350 250 0
97 100 350 250 0
98 100 350 250 0
99 100 350 250 0
100 100 350 250 0
101 100 350 250 0
102 100 350 250 0
103 100 350 250 0
104 100 350 250 0
105 100 350 250 0
106 100 350 250 0
107 100 350 250 0
108 100 350 250 0
109 100 350 250 0
110 100 350 250 0
111 100 350 250 0
112 100 350 250 0
113 100 350 250 0
114 100 350 250 0
115 100 350 250 0
116 100 350 250 0
117 100 350 250 0
118 100 350 250 0
119 100 350 250 0
120 100 350 250 0
121 100 350 250 0
122 100 350 250 0
123 100 350 250 0
124 100 350 250 0
125 100 350 250 0
126 100 350 250 0
127 100 350 250 0
128 100 350 250 0
129 100 350 250 0
130 100 350 250 0
131 100 350 250 0
132 100 350 250 0
133 100 350 250 0
134 100 350 250 0
135 100 350 250 0
136 100 350 250 0
137 100 350 250 0
138 100 350 250 0
139 100 350 250 0
140 100 350 250 0
141 100 350 250 0
142 100 350 250 0
143 100 350 250 0
144 100 350 250 0
145 100 350 250 0
146 100 350 250 0
147 100 350 250 0
148 100 350 250 0
149 100 350 250 0
150 100 350 250 0
151 100 350 250 0
152 100 350 250 0
153 100 350 250 0
154 100 350 250 0
155 100 350 250 0
156 100 350 250 0
157 100 350 250 0
158 100 350 250 0
159 100 350 250 0
160 100 350 250 0
161 100 350 250 0
162 100 350 250 0
163 100 350 250 0
164 100 350 250 0
165 100 350 250 0
166 100 350 250 0
167 100 350 250 0
168 100 350 250 0
169 100 350 250 0
170 100 350 250 0
171 100 350 250 0
172 100 350 250 0
173 100 350 250 0
174 100 350 250 0
175 100 350 250 0
176 100 350 250 0
177 100 350 250 0
178 100 350 250 0
179 100 350 250 0
180 100 350 250 0
181 100 350 250 0
182 100 350 250 0
183 100 350 250 0
184 100 350 250 0
185 100 350 250 0
186 100 350 250 0
187 100 350 250 0
188 100 350 250 0
189 100 350 250 0
190 100 350 250 0
191 100 350 250 0
192 100 350 250 0
193 100 350 250 0
194 100 350 250 0
195 100 350 250 0
196 100 350 250 0
197 100 350 250 0
198 100 350 250 0
199 100 350 250 0
200 100 350 250 0
201 100 350 250 0
202 100 350 250 0
203 100 350 250 0
204 100 350 250 0
205 100 350 250 0
206 100 350 250 0
207 100 350 250 0
208 100 350 250 0
209 100 350 250 0
210 100 350 250 0
211 100 350 250 0
212 100 350 250 0
213 100 350 250 0
214 100 350 250 0
215 100 350 250 0
216 100 350 250 0
217 100 350 250 0
218 100 350 250 0
219 100 350 250 0
220 100 350 250 0
221 100 350 250 0
222 100 350 250 0
223 100 350 250 0
224 100 350 250 0
225 100 350 250 0
226 100 350 250 0
227 100 350 250 0
228 100 350 250 0
229 100 350 250 0
230 100 350 250 0
231 100 350 250 0
232 100 350 250 0
233 100 350 250 0
234 100 350 250 0
235 100 350 250 0
236 100 350 250 0
237 100 350 250 0
238 100 350 250 0
239 100 350 250 0
240 100 350 250 0
241 100 350 250 0
242 100 350 250 0
243 100 350 250 0
244 100 350 250 0
245 100 350 250 0
246 100 350 250 0
247 100 350 250 0
248 100 350 250 0
249 100 350 250 0
250 100 350 250 0
251 100 350 250 0
252 100 350 250 0
253 100 350 250 0
254 100 350 250 0
255 100 350 250 0
256 100 350 250 0
257 100 350 250 0
258 100 350 250 0
259 100 350 250 0
260 100 350 250 0
261 100 350 250 0
262 100 350 250 0
263 100 350 250 0
264 100 350 250 0
265 100 350 250 0
266 100 350 250 0
267 100 350 250 0
268 100 350 250 0
269 100 350 250 0
270 100 350 250 0
271 100 350 250 0
272 100 350 250 0
273 100 350 250 0
274 100 350 250 0
275 100 350 250 0
276 100 350 250 0
277 100 350 250 0
278 100 350 250 0
279 100 350 250 0
280 100 350 250 0
281 100 350 250 0
282 100 350 250 0
283 100 350 250 0
284 100 350 250 0
285 100 350 250 0
286 100 350 250 0
287 100 350 250 0
288 100 350 250 0
289 100 350 250 0
290 100 350 250 0
291 100 350 250 0
292 100 350 250 0
293 100 350 250 0
294 100 350 250 0
295 100 350 250 0
296 100 350 250 0
297 100 350 250 0
298 100 350 250 0
299 100 350 250 0
300 100 350 250 0
301 100 350 250 0
302 100 350 250 0
303 100 350 250 0
304 100 350 250 0
305 100 350 250 0
306 100 350 250 0
307 100 350 250 0
308 100 350 250 0
309 100 350 250 0
310 100 350 250 0
311 100 350 250 0
312 100 350 250 0
313 100 350 250 0
314 100 350 250 0
315 100 350 250 0
316 100 350 250 0
317 100 350 250 0
318 100 350 250 0
319 100 350 250 0
320 100 350 250 0
321 100 350 250 0
322 100 350 250 0
323 100 350 250 0
324 100 350 250 0
325 100 350 250 0
326 100 350 250 0
327 100 350 250 0
328 100 350 250 0
329 100 350 250 0
330 100 350 250 0
331 100 350 250 0
332 100 350 250 0
333 100 350 250 0
334 100 350 250 0
335 100 350 250 0
336 100 350 250 0
337 100 350 250 0
338 100 350 250 0
339 100 350 250 0
340 100 350 250 0
341 100 350 250 0
342 100 350 250 0
343 100 350 250 0
344 100 350 250 0
345 100 350 250 0
346 100 350 250 0
347 100 350 250 0
348 100 350 250 0
349 100 350 250 0
350 100 350 250 0
351 100 350 250 0
352 100 350 250 0
353 100 350 250 0
354 100 350 250 0
355 100 350 250 0
356 100 350 250 0
357 100 350 250 0
358 100 350 250 0
359 100 350 250 0
360 100 350 250 0
361 100 350 250 0
362 100 350 250 0
363 100 350 250 0
364 100 350 250 0
365 100 350 250 0
366 100 350 250 0
367 100 350 250 0
368 100 350 250 0
369 100 350 250 0
370 100 350 250 0
371 100 350 250 0
372 100 350 250 0
373 100 350 250 0
374 100 350 250 0
375 100 350 250 0
376 100 350 250 0
377 100 350 250 0
378 100 350 250 0
379 100 350 250 0
380 100 350 250 0
381 100 350 250 0
382 100 350 250 0
383 100 350 250 0
384 100 350 250 0
385 100 350 250 0
386 100 350 250 0
387 100 350 250 0
388 100 350 250 0
389 100 350 250 0
390 100 350 250 0
391 100 350 250 0
392 100 350 250 0
393 100 350 250 0
394 100 350 250 0
395 100 350 250 0
396 100 350 250 0
397 100 350 250 0
398 100 350 250 0
399 100 350 250 0
400 100 350 250 0
401 100 350 250 0
402 100 350 250 0
403 100 350 250 0
404 100 350 250 0
405 100 350 250 0
406 100 350 250 0
407 100 350 250 0
408 100 350 250 0
409 100 350 250 0
410 100 350 250 0
411 100 350 250 0
412 100 350 250 0
413 100 350 250 0
414 100 350 250 0
415 100 350 250 0
416 100 350 250 0
417 100 350 250 0
418 100 350 250 0
419 100 350 250 0
420 100 350 250 0
421 100 350 250 0
422 100 350 250 0
423 100 350 250 0
424 100 350 250 0
425 100 350 250 0
426 100 350 250 0
427 100 350 250 0
428 100 350 250 0
429 100 350 250 0
430 100 350 250 0
431 100 350 250 0
432 100 350 250 0
433 100 350 250 0
434 100 350 250 0
435 100 350 250 0
436 100 350 250 0
437 100 350 250 0
438 100 350 250 0
439 100 350 250 0
440 100 350 250 0
441 100 350 250 0
442 100 350 250 0
443 100 350 250 0
444 100 350 250 0
445 100 350 250 0
446 100 350 250 0
447 100 350 250 0
448 100 350 250 0
449 100 350 250 0
450 100 350 250 0
451 100 350 250 0
452 100 350 250 0
453 100 350 250 0
454 100 350 250 0
455 100 350 250 0
456 100 350 250 0
457 100 350 250 0
458 100 350 250 0
459 100 350 250 0
460 100 350 250 0
461 100 350 250 0
462 100 350 250 0
463 100 350 250 0
