# /media/filip/Drive/XY/2022oct/cal_m21_015487_2022-10-23.01-53.root
# analyzed at 2024-11-25 14:32 on debian
# spherCalib: 2.34323e+09
# pixel calibConst adcSum stdCalib calibConstCorr
# nEvents 1686
1 5.26131 9.99313e+07 1 5.364184219402477
2 5.63293 9.28548e+07 1 5.782942289599113
3 5.62322 9.31547e+07 1 5.784745685886439
4 5.69445 9.19454e+07 1 5.853129084584712
5 5.24722 9.99322e+07 1 5.392673808607332
6 5.0951 1.02756e+08 1 5.2439852636875806
7 5.49187 9.55023e+07 1 5.684001672019582
8 5.16753 1.01235e+08 1 5.337009637495412
9 5.39022 9.74661e+07 1 5.596828366876157
10 4.59732 1.13807e+08 1 4.749642713769459
11 5.48665 9.57077e+07 1 5.664703581276823
12 4.87298 1.07454e+08 1 5.040977069816942
13 6.06062 8.6387e+07 1 6.261053112375253
14 5.90754 8.84166e+07 1 6.119632987357712
15 5.0701 1.03561e+08 1 5.258972964209425
16 5.21045 1.00376e+08 1 5.383050072036703
17 5.20026 1.00983e+08 1 5.388555595290785
18 4.85155 1.07726e+08 1 5.013174376353479
19 6.58855 7.95594e+07 1 6.825458744182853
20 5.40074 9.6933e+07 1 5.6041827012570735
21 5.66414 9.27133e+07 1 5.883261922630038
22 5.09586 1.02722e+08 1 5.285911383125744
23 5.26029 1.00304e+08 1 5.340904149314899
24 5.52753 9.54228e+07 1 5.6272937491065145
25 5.56516 9.47582e+07 1 5.698403512584078
26 5.3121 9.91694e+07 1 5.440485135619722
27 5.87369 8.9917e+07 1 6.037965478520805
28 5.5806 9.42878e+07 1 5.769260191957222
29 6.10656 8.65196e+07 1 6.293497810531246
30 5.75787 9.13965e+07 1 5.933645633054855
31 5.03324 1.04825e+08 1 5.20970448795858
32 4.57131 1.14992e+08 1 4.71443564453583
33 4.98771 1.05922e+08 1 5.154290075689547
34 5.07252 1.0377e+08 1 5.267189711870356
35 5.49975 9.59964e+07 1 5.669867153715143
36 4.57048 1.15334e+08 1 4.739293113151134
37 5.41586 9.75146e+07 1 5.6154739905040545
38 5.44633 9.66804e+07 1 5.663875735539004
39 6.33589 8.32358e+07 1 6.580785829203279
40 5.26313 9.99911e+07 1 5.464933051110043
41 5.46462 9.66022e+07 1 5.669880409848593
42 5.24035 1.00633e+08 1 5.448356719442032
43 5.50093 9.58959e+07 1 5.725092959300479
44 6.05858 8.69529e+07 1 6.303549195183795
45 5.56559 9.5339e+07 1 5.668686121574062
46 5.19032 1.02189e+08 1 5.328693746387272
47 5.9634 8.90849e+07 1 6.107693813042095
48 5.65829 9.35468e+07 1 5.814006191219081
49 5.5289 9.60592e+07 1 5.735011308827474
50 5.41523 9.77235e+07 1 5.580374618671796
51 5.74196 9.24476e+07 1 5.948661838583696
52 5.61188 9.42602e+07 1 5.836187383899539
53 4.70604 1.12772e+08 1 4.867849429657383
54 5.79316 9.14748e+07 1 6.000461179406173
55 5.8679 9.04839e+07 1 6.095032893249478
56 5.64244 9.38628e+07 1 5.885973395717337
57 4.47757 1.18481e+08 1 4.638991613327902
58 5.26831 1.0053e+08 1 5.476226442963578
59 5.41755 9.79074e+07 1 5.641438858208465
60 5.65907 9.37159e+07 1 5.891512873072158
61 6.04824 8.78701e+07 1 6.295191884502781
62 5.4168 9.78326e+07 1 5.633883075387195
63 5.81856 9.13322e+07 1 6.042919614565653
64 5.53559 9.56536e+07 1 5.741154880920045
65 5.92958 8.95867e+07 1 6.139499888498902
66 5.90285 8.97768e+07 1 6.1535094869395595
67 5.5402 9.62634e+07 1 5.670587412856849
68 5.30109 1.00325e+08 1 5.4266586471094875
69 5.24637 1.01592e+08 1 5.394672932197612
70 5.70312 9.32531e+07 1 5.872244217231821
71 6.14628 8.66122e+07 1 6.325063803737694
72 5.27679 1.00732e+08 1 5.471128035309372
73 5.1416 1.03533e+08 1 5.327628217958881
74 5.9531 8.94004e+07 1 6.143794816854888
75 5.64426 9.4532e+07 1 5.887126285892267
76 5.13116 1.03749e+08 1 5.31657774003891
77 4.78943 1.1129e+08 1 4.989229081662963
78 5.34113 9.97963e+07 1 5.530737195939298
79 5.67881 9.38793e+07 1 5.898226690120617
80 5.47953 9.71346e+07 1 5.7000760727661355
81 5.63148 9.46143e+07 1 5.869901353390754
82 5.8447 9.10342e+07 1 6.086550183637951
83 5.59642 9.51252e+07 1 5.8242743120872635
84 5.92829 8.96958e+07 1 6.14119533295982
85 4.95375 1.07637e+08 1 5.164480855471955
86 4.82706 1.10384e+08 1 5.027560457844823
87 5.92311 9.00026e+07 1 6.178570192658109
88 5.52998 9.61496e+07 1 5.765503537920934
89 5.83809 9.16004e+07 1 5.9878927556609405
90 5.21896 1.02343e+08 1 5.375786565259766
91 6.14881 8.70315e+07 1 6.316704563048706
92 5.55139 9.63186e+07 1 5.706515239296364
93 5.53974 9.67408e+07 1 5.725170286075615
94 5.27847 1.01223e+08 1 5.445687147747442
95 5.73742 9.3319e+07 1 5.930536953223341
96 5.68457 9.40094e+07 1 5.896045078768805
97 5.78756 9.24846e+07 1 6.025242434391731
98 5.51062 9.68114e+07 1 5.737199876086992
99 5.44486 9.81336e+07 1 5.683594725703335
100 5.92586 9.01119e+07 1 6.173242845634622
101 6.5905 8.11131e+07 1 6.872107736622373
102 5.13557 1.03898e+08 1 5.366244790827136
103 5.83786 9.15675e+07 1 6.091020418755814
104 5.82802 9.16537e+07 1 6.06988996713933
105 6.06212 8.8194e+07 1 6.328914332937483
106 4.8785 1.09517e+08 1 5.081090865315118
107 5.59017 9.58462e+07 1 5.823975932452086
108 5.58227 9.57756e+07 1 5.833364839942195
109 5.05264 1.06098e+08 1 5.270585478267456
110 5.25483 1.01575e+08 1 5.4813510388528
111 5.6845 9.44407e+07 1 5.820558043375534
112 5.32234 1.00578e+08 1 5.449046544377334
113 5.59592 9.59847e+07 1 5.769786649271636
114 5.9581 8.98841e+07 1 6.157917351391233
115 5.79452 9.26977e+07 1 5.991381609161681
116 5.48208 9.7892e+07 1 5.670335346856152
117 6.18044 8.68037e+07 1 6.395880544028737
118 5.58826 9.58055e+07 1 5.78310436040764
119 5.29527 1.01538e+08 1 5.501733359793733
120 5.39679 9.93793e+07 1 5.605383923266139
121 5.691 9.45663e+07 1 5.933557665399851
122 5.3029 1.00937e+08 1 5.513582727522137
123 6.39276 8.40046e+07 1 6.669861847878428
124 4.92773 1.08597e+08 1 5.126812069453704
125 5.40157 9.93328e+07 1 5.638847783274749
126 5.83723 9.21071e+07 1 6.090997704404125
127 5.42894 9.88853e+07 1 5.696624779024888
128 5.29651 1.01015e+08 1 5.547871339100826
129 5.26371 1.01974e+08 1 5.495929421117604
130 5.26688 1.01778e+08 1 5.497132863806755
131 5.34042 1.00472e+08 1 5.586634600782124
132 5.80265 9.24667e+07 1 6.071773356252924
133 5.50703 9.76635e+07 1 5.621589900760148
134 5.51253 9.76013e+07 1 5.664703707530907
135 6.06389 8.88612e+07 1 6.264599891080443
136 6.1123 8.77919e+07 1 6.31571496960657
137 5.88993 9.14627e+07 1 6.0868486612439385
138 5.61268 9.56155e+07 1 5.801962285442624
139 5.26516 1.02442e+08 1 5.447618594368926
140 5.72777 9.37909e+07 1 5.932554475132215
141 5.26589 1.01899e+08 1 5.478250761666475
142 6.02347 8.91489e+07 1 6.289902701339193
143 5.54772 9.70934e+07 1 5.787362939165142
144 5.53553 9.70961e+07 1 5.779503823225789
145 5.24119 1.0256e+08 1 5.467407383362568
146 6.27118 8.56268e+07 1 6.539408908323655
147 4.78106 1.12614e+08 1 4.998648178293375
148 5.03839 1.06645e+08 1 5.2767438955857795
149 5.57464 9.6594e+07 1 5.824668434870684
150 5.71185 9.39964e+07 1 5.974137955311247
151 6.25921 8.60626e+07 1 6.554176920055369
152 5.91494 9.08296e+07 1 6.196696735510007
153 6.29935 8.53925e+07 1 6.601336213005207
154 5.747 9.36672e+07 1 5.9897369272098615
155 5.91535 9.12798e+07 1 6.055569580731405
156 5.47868 9.82559e+07 1 5.619755883997995
157 5.7301 9.39652e+07 1 5.9040442332717245
158 5.82511 9.24441e+07 1 6.022530862162309
159 5.77008 9.34129e+07 1 5.974647853193951
160 5.79585 9.28996e+07 1 5.988331724312272
161 5.66345 9.52767e+07 1 5.884191993761858
162 5.89366 9.14273e+07 1 6.119794859793218
163 4.67208 1.15286e+08 1 4.85543848289754
164 5.5577 9.67302e+07 1 5.789246062929912
165 5.78261 9.32645e+07 1 6.019888026302477
166 5.18223 1.03844e+08 1 5.392163300735109
167 5.02921 1.07189e+08 1 5.263988124753754
168 5.34433 1.00898e+08 1 5.580229438931235
169 5.4316 9.92704e+07 1 5.698272896563472
170 6.45891 8.34067e+07 1 6.761068237416965
171 6.21891 8.66504e+07 1 6.511820088417612
172 5.47137 9.85428e+07 1 5.740775986661102
173 5.48962 9.82394e+07 1 5.755303699076942
174 5.24295 1.02656e+08 1 5.485120434168094
175 5.52245 9.75479e+07 1 5.79359554991998
176 5.65986 9.51039e+07 1 5.941840771858073
177 5.77607 9.34665e+07 1 5.946952681115439
178 5.10748 1.05539e+08 1 5.253719320520188
179 5.04215 1.07218e+08 1 5.205121674606615
