# /media/filip/Drive/XY/2023nov/cal_m08_012822_2023-11-15.02-11.root
# analyzed at 2024-11-17 19:01 on debian
# spherCalib: 2.37507e+09
# pixel calibConst adcSum stdCalib calibConstCorr
# nEvents 1567
1 7.55789 1.03037e+08 0 7.705669171742358
2 7.30614 1.06035e+08 0 7.500712059218144
3 8.43895 9.19394e+07 0 8.681356874870868
4 7.53704 1.02892e+08 0 7.74706390181288
5 8.51799 9.11796e+07 0 8.754110095437042
6 8.4476 9.17971e+07 0 8.694449552222173
7 9.03799 8.59532e+07 0 9.35418177627953
8 7.85853 9.85993e+07 0 8.116266445777155
9 7.53598 1.03257e+08 0 7.824835839021669
10 8.68998 8.91775e+07 0 8.977904559569994
11 8.18531 9.50209e+07 0 8.450940896696707
12 8.08326 9.59467e+07 0 8.361932187156214
13 8.72973 8.88312e+07 0 9.018434283405924
14 9.34109 8.28216e+07 0 9.67645458208954
15 8.30016 9.36975e+07 0 8.609360178026568
16 8.19316 9.45481e+07 0 8.464564582369707
17 7.87021 9.88301e+07 0 8.155181497004667
18 8.09759 9.5597e+07 0 8.36735284562999
19 8.55133 9.07922e+07 0 8.858815691296744
20 8.548 9.07113e+07 0 8.869998135504664
21 8.10158 9.60077e+07 0 8.414996297256259
22 7.44926 1.0408e+08 0 7.727082029306786
23 8.71 8.9724e+07 0 8.843481089546922
24 8.81852 8.85907e+07 0 8.977681255890204
25 9.39333 8.31524e+07 0 9.618229245315751
26 9.33768 8.35613e+07 0 9.563357098167124
27 8.72042 8.97048e+07 0 8.964312879672303
28 9.22204 8.45102e+07 0 9.533804297143172
29 7.63388 1.0251e+08 0 7.867573079746743
30 8.18571 9.52216e+07 0 8.435602470176203
31 7.89112 9.9032e+07 0 8.16778124608
32 8.05446 9.66652e+07 0 8.306641492589227
33 8.07899 9.68573e+07 0 8.348812978018987
34 7.353 1.06031e+08 0 7.635188417469566
35 8.51589 9.18266e+07 0 8.779301785654122
36 7.7514 1.00726e+08 0 8.03770208758811
37 8.87936 8.80959e+07 0 9.206629257832011
38 8.14219 9.57858e+07 0 8.467417944771677
39 7.41619 1.05327e+08 0 7.702841756829596
40 8.9293 8.72947e+07 0 9.271674211595931
41 7.86761 9.93813e+07 0 8.163130796163117
42 8.24864 9.46929e+07 0 8.576055639462693
43 7.85282 9.94971e+07 0 8.172822503222907
44 8.95894 8.70961e+07 0 9.321180710116876
45 8.2225 9.55824e+07 0 8.37481230824454
46 8.88567 8.84114e+07 0 9.122561645806229
47 9.02813 8.71567e+07 0 9.24657976059626
48 9.20404 8.51797e+07 0 9.457335262814043
49 9.02307 8.71814e+07 0 9.359440121966742
50 8.85399 8.85274e+07 0 9.12400416417657
51 7.87096 9.98915e+07 0 8.154302604862927
52 7.74223 1.01198e+08 0 8.05168767850498
53 9.21904 8.52652e+07 0 9.536021497052428
54 8.17222 9.60457e+07 0 8.464652945813114
55 7.85657 1.00097e+08 0 8.160679728372509
56 8.03447 9.76345e+07 0 8.381245820724558
57 8.0969 9.70451e+07 0 8.388802675101605
58 7.55945 1.03772e+08 0 7.857787408915008
59 8.78511 8.94276e+07 0 9.14816862375719
60 8.48455 9.25828e+07 0 8.833047752938977
61 8.12954 9.68288e+07 0 8.46147213614882
62 7.1066 1.1045e+08 0 7.391403312573225
63 7.9904 9.85079e+07 0 8.298504249887497
64 7.60232 1.03162e+08 0 7.884633178092322
65 9.42393 8.34902e+07 0 9.757557396008059
66 8.05665 9.74252e+07 0 8.398768765588079
67 8.8574 8.91827e+07 0 9.065856999862508
68 8.85979 8.89098e+07 0 9.06965473422903
69 7.85141 1.00547e+08 0 8.073351480468524
70 7.74763 1.01673e+08 0 7.977383513717365
71 7.99783 9.85871e+07 0 8.230471934478652
72 8.25875 9.53284e+07 0 8.562910152121132
73 7.6691 1.02809e+08 0 7.946575689736357
74 8.40714 9.37637e+07 0 8.676444735780251
75 9.37704 8.42793e+07 0 9.780523694490194
76 7.64739 1.03107e+08 0 7.923733316325384
77 8.20924 9.617e+07 0 8.551702174653531
78 8.83383 8.93715e+07 0 9.147426137091674
79 7.31979 1.07877e+08 0 7.602610537080477
80 8.00853 9.84384e+07 0 8.330866010593935
81 8.7361 9.03363e+07 0 9.10596241367402
