# /media/filip/Drive/XY/2023nov/cal_m08_012822_2023-11-15.02-11.root
# analyzed at 2024-11-17 18:41 on debian
# spherCalib: 2.37507e+09
# pixel calibConst adcSum stdCalib calibConstCorr
# nEvents 1567
1 2.3867 1.03037e+08 0 2.433367065701867
2 2.3072 1.06035e+08 0 2.3686437521082406
3 2.66493 9.19394e+07 0 2.7414794940780105
4 2.38012 1.02892e+08 0 2.4464433960789473
5 2.68989 9.11796e+07 0 2.764454196895646
6 2.66766 9.17971e+07 0 2.7456123978977467
7 2.8541 8.59532e+07 0 2.9539499609624933
8 2.48164 9.85993e+07 0 2.563030422038017
9 2.37978 1.03257e+08 0 2.4709975123324353
10 2.7442 8.91775e+07 0 2.8351234056202643
11 2.58483 9.50209e+07 0 2.668713287341415
12 2.55261 9.59467e+07 0 2.6406117977470513
13 2.75676 8.88312e+07 0 2.8479298781430944
14 2.94982 8.28216e+07 0 3.0557246804537126
15 2.6211 9.36975e+07 0 2.7187420438431835
16 2.58731 9.45481e+07 0 2.6730165881797703
17 2.48533 9.88301e+07 0 2.575321018111411
18 2.55713 9.5597e+07 0 2.6423181443053814
19 2.70042 9.07922e+07 0 2.7975207446200243
20 2.69937 9.07113e+07 0 2.8010536812163345
21 2.55839 9.60077e+07 0 2.6573634250278886
22 2.3524 1.0408e+08 0 2.4401333509289893
23 2.75053 8.9724e+07 0 2.792681979475487
24 2.7848 8.85907e+07 0 2.8350615252222644
25 2.96631 8.31524e+07 0 3.0373307008986767
26 2.94874 8.35613e+07 0 3.020006426612319
27 2.75382 8.97048e+07 0 2.8308388924271055
28 2.91222 8.45102e+07 0 3.0106717765512068
29 2.4107 1.0251e+08 0 2.4844978468806778
30 2.58496 9.52216e+07 0 2.6638733794999676
31 2.49193 9.9032e+07 0 2.579296617025737
32 2.54352 9.66652e+07 0 2.6231564585621565
33 2.55126 9.68573e+07 0 2.636467256216523
34 2.322 1.06031e+08 0 2.411112131832495
35 2.68923 9.18266e+07 0 2.7724127179936127
36 2.44781 1.00726e+08 0 2.538221166114386
37 2.80401 8.80959e+07 0 2.907358244879534
38 2.57122 9.57858e+07 0 2.673923645598522
39 2.34195 1.05327e+08 0 2.4324714243306973
40 2.81978 8.72947e+07 0 2.9278982124437505
41 2.48451 9.93813e+07 0 2.577832415991035
42 2.60483 9.46929e+07 0 2.7082242662234752
43 2.47984 9.94971e+07 0 2.5808935078598885
44 2.82914 8.70961e+07 0 2.943531845756313
45 2.59658 9.55824e+07 0 2.6446786431549536
46 2.806 8.84114e+07 0 2.8808078600862155
47 2.85099 8.71567e+07 0 2.919974173130241
48 2.90654 8.51797e+07 0 2.9865280066991806
49 2.84939 8.71814e+07 0 2.955612124158497
50 2.796 8.85274e+07 0 2.8812677270967884
51 2.48557 9.98915e+07 0 2.5750467446879597
52 2.44491 1.01198e+08 0 2.54263328809059
53 2.91128 8.52652e+07 0 3.0113795648938275
54 2.5807 9.60457e+07 0 2.6730472083791077
55 2.48102 1.00097e+08 0 2.5770545695751155
56 2.5372 9.76345e+07 0 2.6467081084803787
57 2.55692 9.70451e+07 0 2.6490999439317267
58 2.38719 1.03772e+08 0 2.4814016263997796
59 2.77424 8.94276e+07 0 2.8888898742044375
60 2.67933 9.25828e+07 0 2.789381857126423
61 2.56722 9.68288e+07 0 2.6720405456352974
62 2.24419 1.1045e+08 0 2.3341279092735916
63 2.52329 9.85079e+07 0 2.620586302149908
64 2.40073 1.03162e+08 0 2.489881432199852
65 2.97598 8.34902e+07 0 3.081336094322863
66 2.54421 9.74252e+07 0 2.6522477060685086
67 2.79707 8.91827e+07 0 2.8628984395652703
68 2.79783 8.89098e+07 0 2.864103111368103
69 2.47939 1.00547e+08 0 2.549476708917106
70 2.44662 1.01673e+08 0 2.5191737411739044
71 2.52563 9.85871e+07 0 2.5990958587363466
72 2.60803 9.53284e+07 0 2.704080710039228
73 2.42182 1.02809e+08 0 2.5094438639367462
74 2.65489 9.37637e+07 0 2.7399337187885093
75 2.96117 8.42793e+07 0 3.088585880876431
76 2.41496 1.03107e+08 0 2.5022261202309743
77 2.59239 9.617e+07 0 2.700535884022159
78 2.78963 8.93715e+07 0 2.888660340397658
79 2.31151 1.07877e+08 0 2.400821646873325
80 2.52901 9.84384e+07 0 2.6308003403186557
81 2.75877 9.03363e+07 0 2.8755687237979735
