# /media/filip/Drive/XY/2023nov/cal_m08_012822_2023-11-15.02-11.root
# analyzed at 2024-11-17 18:46 on debian
# spherCalib: 2.37507e+09
# pixel calibConst adcSum stdCalib calibConstCorr
# nEvents 1567
1 3.58005 1.03037e+08 0 3.650050598552801
2 3.46081 1.06035e+08 0 3.5529758944754333
3 3.9974 9.19394e+07 0 4.112224384740851
4 3.57018 1.02892e+08 0 3.6696650941184217
5 4.03484 9.11796e+07 0 4.146686433944298
6 4.0015 9.17971e+07 0 4.118428889059262
7 4.28115 8.59532e+07 0 4.43092494144374
8 3.72246 9.85993e+07 0 3.844545633057025
9 3.56968 1.03257e+08 0 3.706506651800943
10 4.11631 8.91775e+07 0 4.252695439759766
11 3.87725 9.50209e+07 0 4.003075093272865
12 3.82891 9.59467e+07 0 3.960912524244464
13 4.13513 8.88312e+07 0 4.271884486500767
14 4.42473 8.28216e+07 0 4.58358702068057
15 3.93165 9.36975e+07 0 4.078113065764775
16 3.88097 9.45481e+07 0 4.009530047898413
17 3.72799 9.88301e+07 0 3.862976346122712
18 3.8357 9.5597e+07 0 3.963482383027907
19 4.05063 9.07922e+07 0 4.196281116930036
20 4.04905 9.07113e+07 0 4.20157533347744
21 3.83759 9.60077e+07 0 3.9860503309709525
22 3.5286 1.0408e+08 0 3.660200026393484
23 4.12579 8.9724e+07 0 4.189017892588036
24 4.17719 8.85907e+07 0 4.252582107348172
25 4.44947 8.31524e+07 0 4.556001171060218
26 4.42311 8.35613e+07 0 4.530009639918479
27 4.13073 8.97048e+07 0 4.246258338640658
28 4.36834 8.45102e+07 0 4.516018002891161
29 3.61605 1.0251e+08 0 3.726746770321017
30 3.87744 9.52216e+07 0 3.995810069249951
31 3.7379 9.9032e+07 0 3.8689501008377056
32 3.81527 9.66652e+07 0 3.9347243747477667
33 3.82689 9.68573e+07 0 3.954700884324784
34 3.483 1.06031e+08 0 3.6166681977487416
35 4.03384 9.18266e+07 0 4.158613922331432
36 3.67171 1.00726e+08 0 3.8073265644939154
37 4.20601 8.80959e+07 0 4.361032183032788
38 3.85683 9.57858e+07 0 4.010885468397784
39 3.51293 1.05327e+08 0 3.6487123297568416
40 4.22967 8.72947e+07 0 4.391847318665625
41 3.72676 9.93813e+07 0 3.8667434361780586
42 3.90725 9.46929e+07 0 4.06234159780165
43 3.71976 9.94971e+07 0 3.8713402617898334
44 4.24371 8.70961e+07 0 4.41529776863447
45 3.89487 9.55824e+07 0 3.967017964732431
46 4.209 8.84114e+07 0 4.321211790129323
47 4.27648 8.71567e+07 0 4.379956138712523
48 4.35981 8.51797e+07 0 4.4797920100487705
49 4.27409 8.71814e+07 0 4.433423372632245
50 4.19399 8.85274e+07 0 4.321891285681924
51 3.72835 9.98915e+07 0 3.8625649370395343
52 3.66737 1.01198e+08 0 3.8139551319863667
53 4.36692 8.52652e+07 0 4.517069347340741
54 3.87105 9.60457e+07 0 4.009570812568661
55 3.72153 1.00097e+08 0 3.865581854362673
56 3.8058 9.76345e+07 0 3.9700621627205686
57 3.83537 9.70451e+07 0 3.9736395553859434
58 3.58079 1.03772e+08 0 3.7221076369271264
59 4.16137 8.94276e+07 0 4.33334522457254
60 4.019 9.25828e+07 0 4.184077991061606
61 3.85083 9.68288e+07 0 4.008060818452946
62 3.36629 1.1045e+08 0 3.5011970642898316
63 3.78493 9.85079e+07 0 3.93087426042835
64 3.6011 1.03162e+08 0 3.7348273339754527
65 4.46396 8.34902e+07 0 4.621993787462781
66 3.81631 9.74252e+07 0 3.9783663467820305
67 4.19561 8.91827e+07 0 4.294352777021828
68 4.19674 8.89098e+07 0 4.296149548615525
69 3.71909 1.00547e+08 0 3.824220204714273
70 3.66993 1.01673e+08 0 3.778760611760857
71 3.78844 9.85871e+07 0 3.89863864266386
72 3.91204 9.53284e+07 0 4.056115880914661
73 3.63273 1.02809e+08 0 3.7641657959051202
74 3.98233 9.37637e+07 0 4.109895418018466
75 4.44176 8.42793e+07 0 4.632884036459134
76 3.62245 1.03107e+08 0 3.753349541702841
77 3.88859 9.617e+07 0 4.0508090346166
78 4.18445 8.93715e+07 0 4.332995688093755
79 3.46727 1.07877e+08 0 3.6012376634989565
80 3.79351 9.84384e+07 0 3.9461953092325555
81 4.13815 9.03363e+07 0 4.313347874010731
82 3.45532 1.08036e+08 0 3.5982990710434897
83 3.46673 1.07739e+08 0 3.607875478599226
84 3.91795 9.5221e+07 0 4.058657092478595
85 3.9933 9.36816e+07 0 4.163173636165764
86 4.03948 9.25446e+07 0 4.207266932305586
87 3.99053 9.37268e+07 0 4.162639172817653
88 3.46618 1.07624e+08 0 3.6138056653135786
89 3.82505 9.80891e+07 0 3.9231990574041986
90 3.87287 9.67609e+07 0 3.989247381661784
91 4.23134 8.87317e+07 0 4.346877637430741
92 3.81932 9.82235e+07 0 3.926045149728156
93 4.11759 9.13156e+07 0 4.255417026474544
94 3.2054 1.16949e+08 0 3.30694416817556
95 4.35246 8.6306e+07 0 4.498960310980626
96 3.71573 1.00905e+08 0 3.8539610877399015
97 3.50441 1.07162e+08 0 3.6483284561208396
98 3.53948 1.05749e+08 0 3.685012615170777
99 4.15125 9.03057e+07 0 4.333265245585005
100 4.38609 8.54172e+07 0 4.569193115060018
101 4.53513 8.27006e+07 0 4.728913126407439
102 4.23293 8.84388e+07 0 4.423060840848417
103 3.60928 1.03912e+08 0 3.765797428682254
104 3.78503 9.90126e+07 0 3.9421133802425827
105 3.68289 1.01851e+08 0 3.8449742511913536
106 2.98684 1.25501e+08 0 3.1108753592616187
107 3.51011 1.07095e+08 0 3.656918512363559
108 3.29788 1.13742e+08 0 3.446221203623
109 3.20805 1.1724e+08 0 3.3464291426968695
110 4.39285 8.52485e+07 0 4.582213489499094
111 3.93349 9.57553e+07 0 4.027637761990893
112 4.15171 9.04627e+07 0 4.250547884719282
113 4.2525 8.86173e+07 0 4.384626250201511
114 4.30894 8.71985e+07 0 4.453449319766996
115 4.18084 9.0139e+07 0 4.322878838427949
116 4.188 8.99033e+07 0 4.331816469776721
117 3.81149 9.87534e+07 0 3.944352624531601
118 4.6091 8.14967e+07 0 4.769804251691019
119 3.84899 9.80073e+07 0 3.9990626888737464
120 3.98622 9.43972e+07 0 4.140293304464681
121 3.80983 9.9108e+07 0 3.9722098050202628
122 3.03785 1.23619e+08 0 3.158542927229087
123 4.23277 8.90136e+07 0 4.416244491243904
124 3.49455 1.0744e+08 0 3.6357310804994265
125 3.64416 1.03301e+08 0 3.804239052330806
126 3.87932 9.72374e+07 0 4.047969536004065
127 3.4561 1.08981e+08 0 3.6265099446278493
128 3.66131 1.02525e+08 0 3.8350681510208133
129 3.83873 9.81036e+07 0 4.008083489919996
130 3.95387 9.51209e+07 0 4.126721838397612
131 4.36142 8.63145e+07 0 4.562498807311629
132 4.01783 9.36936e+07 0 4.204174496816745
133 3.58087 1.05378e+08 0 3.6553609891239
134 3.72612 1.01307e+08 0 3.8289797567913575
135 4.37093 8.64927e+07 0 4.515604274140897
136 4.30368 8.748e+07 0 4.446904798585868
137 3.66444 1.03142e+08 0 3.786953615443433
138 3.55321 1.05966e+08 0 3.673038621880739
139 3.94435 9.59411e+07 0 4.08103730992013
140 4.01396 9.38994e+07 0 4.157470771522199
141 3.98789 9.44038e+07 0 4.14871207525074
142 4.29914 8.76336e+07 0 4.489301399265769
143 4.14883 9.10894e+07 0 4.328045572396681
144 4.14788 9.09127e+07 0 4.33069431802949
145 4.51042 8.36145e+07 0 4.705096287306164
146 4.07362 9.24842e+07 0 4.247855573771668
