# /media/filip/Drive/XY/2023nov/cal_m08_012822_2023-11-15.02-11.root
# analyzed at 2024-11-17 18:50 on debian
# spherCalib: 2.37507e+09
# pixel calibConst adcSum stdCalib calibConstCorr
# nEvents 1567
1 4.7734 1.03037e+08 0 4.866734131403734
2 4.61441 1.06035e+08 0 4.737297770529554
3 5.32986 9.19394e+07 0 5.482958988156021
4 4.76023 1.02892e+08 0 4.892876513502213
5 5.37978 9.11796e+07 0 5.528908393791292
6 5.33533 9.17971e+07 0 5.4912350880081355
7 5.70821 8.59532e+07 0 5.907910271772438
8 4.96328 9.85993e+07 0 5.126060844076034
9 4.75957 1.03257e+08 0 4.9420054079671605
10 5.48841 8.91775e+07 0 5.6702571425698975
11 5.16967 9.50209e+07 0 5.337436899204316
12 5.10522 9.59467e+07 0 5.281223595494103
13 5.51351 8.88312e+07 0 5.695849425572314
14 5.89964 8.28216e+07 0 6.111449360907425
15 5.2422 9.36975e+07 0 5.437484087686367
16 5.17463 9.45481e+07 0 5.346043507617055
17 4.97066 9.88301e+07 0 5.150642036222822
18 5.11427 9.5597e+07 0 5.284646621750433
19 5.40084 9.07922e+07 0 5.595041489240049
20 5.39873 9.07113e+07 0 5.602096985738546
21 5.11679 9.60077e+07 0 5.314737236914016
22 4.7048 1.0408e+08 0 4.880266701857979
23 5.50105 8.9724e+07 0 5.585353805700584
24 5.56959 8.85907e+07 0 5.670112869959304
25 5.93263 8.31524e+07 0 6.074671641221758
26 5.89748 8.35613e+07 0 6.040012853224638
27 5.50764 8.97048e+07 0 5.661677784854211
28 5.82445 8.45102e+07 0 6.021353891166764
29 4.8214 1.0251e+08 0 4.9689956937613555
30 5.16992 9.52216e+07 0 5.327746758999935
31 4.98386 9.9032e+07 0 5.158593234051474
32 5.08703 9.66652e+07 0 5.246302604028846
33 5.10252 9.68573e+07 0 5.272934512433046
34 4.644 1.06031e+08 0 4.82222426366499
35 5.37846 9.18266e+07 0 5.544825435987225
36 4.89562 1.00726e+08 0 5.076442332228772
37 5.60802 8.80959e+07 0 5.814716489759068
38 5.14244 9.57858e+07 0 5.347847291197044
39 4.68391 1.05327e+08 0 4.864953235182986
40 5.63956 8.72947e+07 0 5.855796424887501
41 4.96902 9.93813e+07 0 5.15566483198207
42 5.20967 9.46929e+07 0 5.416458929379826
43 4.95968 9.94971e+07 0 5.161787015719777
44 5.65828 8.70961e+07 0 5.887063691512626
45 5.19316 9.55824e+07 0 5.289357286309907
46 5.612 8.84114e+07 0 5.761615720172431
47 5.70198 8.71567e+07 0 5.839948346260482
48 5.81308 8.51797e+07 0 5.973056013398361
49 5.69878 8.71814e+07 0 5.911224248316994
50 5.59199 8.85274e+07 0 5.762525149230318
51 4.97113 9.98915e+07 0 5.150083129391109
52 4.88983 1.01198e+08 0 5.085276975882143
53 5.82255 8.52652e+07 0 6.022748785954135
54 5.1614 9.60457e+07 0 5.346094416758215
55 4.96204 1.00097e+08 0 5.154109139150231
56 5.0744 9.76345e+07 0 5.2934162169607575
57 5.11383 9.70451e+07 0 5.2981895273518065
58 4.77439 1.03772e+08 0 4.962813647454474
59 5.54849 8.94276e+07 0 5.7777901616747585
60 5.35866 9.25828e+07 0 5.578763714252846
61 5.13445 9.68288e+07 0 5.344091499574307
62 4.48838 1.1045e+08 0 4.668255818547183
63 5.04657 9.85079e+07 0 5.241162218706792
64 4.80146 1.03162e+08 0 4.979762864399704
65 5.95195 8.34902e+07 0 6.162661834624213
66 5.08841 9.74252e+07 0 5.304484987495552
67 5.59414 8.91827e+07 0 5.725796879130541
68 5.59566 8.89098e+07 0 5.728206222736206
