# /media/filip/Drive/XY/2023nov/cal_m08_012822_2023-11-15.02-11.root
# analyzed at 2024-11-17 19:14 on debian
# spherCalib: 2.37507e+09
# pixel calibConst adcSum stdCalib calibConstCorr
# nEvents 1567
1 7.95567 1.03037e+08 0 8.111226950849446
2 7.69068 1.06035e+08 0 7.895492862111566
3 8.88311 9.19394e+07 0 9.138275267507707
4 7.93372 1.02892e+08 0 8.154797615388917
5 8.9663 9.11796e+07 0 9.214847322985488
6 8.89221 9.17971e+07 0 9.152051618538463
7 9.51368 8.59532e+07 0 9.84651366967158
8 8.27214 9.85993e+07 0 8.54344162544026
9 7.93261 1.03257e+08 0 8.236668757743741
10 9.14735 8.91775e+07 0 9.450428570949828
11 8.61612 9.50209e+07 0 8.895731606847688
12 8.50869 9.59467e+07 0 8.802028981071278
13 9.18919 8.88312e+07 0 9.49308926309644
14 9.83273 8.28216e+07 0 10.185745481838769
15 8.73701 9.36975e+07 0 9.062483852000431
16 8.62438 9.45481e+07 0 8.910069068942589
17 8.28443 9.88301e+07 0 8.5843999396751
18 8.52378 9.5597e+07 0 8.807740925204165
19 9.0014 9.07922e+07 0 9.325069148733414
20 8.99789 9.07113e+07 0 9.336835227360327
21 8.52798 9.60077e+07 0 8.857891932570613
22 7.84133 1.0408e+08 0 8.133774378779124
23 9.16842 8.9724e+07 0 9.308926393917769
24 9.28265 8.85907e+07 0 9.450188116598842
25 9.88772 8.31524e+07 0 10.124456148511065
26 9.82914 8.35613e+07 0 10.066694916497287
27 9.17939 8.97048e+07 0 9.436119361743486
28 9.70741 8.45102e+07 0 10.035582926568372
29 8.03566 1.0251e+08 0 8.28165261885145
30 8.61654 9.52216e+07 0 8.879584801852504
31 8.30644 9.9032e+07 0 8.59766229048459
32 8.47838 9.66652e+07 0 8.743834235682918
33 8.5042 9.68573e+07 0 8.78822418738841
34 7.74 1.06031e+08 0 8.037040439441649
35 8.96409 9.18266e+07 0 9.241365417327403
36 8.15936 1.00726e+08 0 8.460730307477734
37 9.34669 8.80959e+07 0 9.691183781025423
38 8.57073 9.57858e+07 0 8.91307535218325
39 7.80652 1.05327e+08 0 8.108258854145507
40 9.39927 8.72947e+07 0 9.759664169288444
41 8.2817 9.93813e+07 0 8.592774719970118
42 8.68278 9.46929e+07 0 9.027428083322082
43 8.26613 9.94971e+07 0 8.602974890366259
44 9.43047 8.70961e+07 0 9.811776287299155
45 8.65527 9.55824e+07 0 8.815598872262658
46 9.35334 8.84114e+07 0 9.602699711353813
47 9.5033 8.71567e+07 0 9.73324724376747
48 9.68847 8.51797e+07 0 9.955096780730631
49 9.49797 8.71814e+07 0 9.85204387145799
50 9.31999 8.85274e+07 0 9.604215452026036
51 8.28522 9.98915e+07 0 8.583475335646785
52 8.14971 1.01198e+08 0 8.475454693336264
53 9.70426 8.52652e+07 0 10.037924987090411
54 8.60233 9.60457e+07 0 8.91015390865108
55 8.27007 1.00097e+08 0 8.590185360942707
56 8.45734 9.76345e+07 0 8.82236731600798
57 8.52305 9.70451e+07 0 8.830315878919677
58 7.95731 1.03772e+08 0 8.271349149320848
59 9.24748 8.94276e+07 0 9.629646798369304
60 8.9311 9.25828e+07 0 9.297939523754742
61 8.55741 9.68288e+07 0 8.906812227088038
62 7.48064 1.1045e+08 0 7.7804332980845645
63 8.41095 9.85079e+07 0 8.73527036451132
64 8.00244 1.03162e+08 0 8.29961168823374
65 9.91992 8.34902e+07 0 10.271106509047526
66 8.48069 9.74252e+07 0 8.840815262253564
67 9.32357 8.91827e+07 0 9.542998210333515
68 9.32609 8.89098e+07 0 9.547000134353752
69 8.26464 1.00547e+08 0 8.498262551508505
70 8.1554 1.01673e+08 0 8.397245803913016
71 8.41877 9.85871e+07 0 8.663656292748263
72 8.69342 9.53284e+07 0 9.013588542412943
73 8.07274 1.02809e+08 0 8.364819787662473
74 8.84962 9.37637e+07 0 9.133098635523568
75 9.87057 8.42793e+07 0 10.295289746351095
76 8.04988 1.03107e+08 0 8.340767549245086
77 8.6413 9.617e+07 0 9.001786280073862
78 9.29877 8.93715e+07 0 9.628871252990372
79 7.70504 1.07877e+08 0 8.002745747163042
80 8.43003 9.84384e+07 0 8.769331000231901
81 9.19589 9.03363e+07 0 9.585218655954119
82 7.6785 1.08036e+08 0 7.996231728756651
83 7.70385 1.07739e+08 0 8.017506845299936
84 8.70655 9.5221e+07 0 9.019232228211056
85 8.874 9.36816e+07 0 9.251496969257254
86 8.97663 9.25446e+07 0 9.349490172631699
87 8.86784 9.37268e+07 0 9.25030463679744
88 7.70263 1.07624e+08 0 8.030687365288108
89 8.50011 9.80891e+07 0 8.718218987943166
90 8.60638 9.67609e+07 0 8.864996470469277
91 9.40299 8.87317e+07 0 9.65974063913202
92 8.48738 9.82235e+07 0 8.724547061492558
93 9.15019 9.13156e+07 0 9.456471946327126
94 7.12311 1.16949e+08 0 7.348763671857807
95 9.67213 8.6306e+07 0 9.997686134426289
