# /media/filip/Drive/XY/2023nov/cal_m08_012822_2023-11-15.02-11.root
# analyzed at 2024-11-17 18:57 on debian
# spherCalib: 2.37507e+09
# pixel calibConst adcSum stdCalib calibConstCorr
# nEvents 1567
1 6.36454 1.03037e+08 0 6.488985638891424
2 6.15254 1.06035e+08 0 6.316390183164024
3 7.10648 9.19394e+07 0 7.310611984208028
4 6.34698 1.02892e+08 0 6.523842203773406
5 7.17304 9.11796e+07 0 7.37187785838839
6 7.11377 9.17971e+07 0 7.3216433532733
7 7.61094 8.59532e+07 0 7.877206795798283
8 6.61771 9.85993e+07 0 6.834751234758146
9 6.34609 1.03257e+08 0 6.589337082855451
10 7.31788 8.91775e+07 0 7.5603428567598625
11 6.89289 9.50209e+07 0 7.116579090765258
12 6.80696 9.59467e+07 0 7.041631460658803
13 7.35135 8.88312e+07 0 7.594469344334377
14 7.86618 8.28216e+07 0 8.148592241862685
15 6.98961 9.36975e+07 0 7.249989156104976
16 6.89951 9.45481e+07 0 7.128061453908579
17 6.62754 9.88301e+07 0 6.867515806904556
18 6.81902 9.5597e+07 0 7.046188606907464
19 7.20112 9.07922e+07 0 7.460055318986732
20 7.19831 9.07113e+07 0 7.4694661065494365
21 6.82239 9.60077e+07 0 7.086319778171435
22 6.27306 1.0408e+08 0 6.5070153538422915
23 7.33474 8.9724e+07 0 7.447145176434372
24 7.42612 8.85907e+07 0 7.560150493279073
25 7.91017 8.31524e+07 0 8.099558775154211
26 7.86331 8.35613e+07 0 8.053353884860963
27 7.34351 8.97048e+07 0 7.5488934334587485
28 7.76593 8.45102e+07 0 8.02846840886757
29 6.42853 1.0251e+08 0 6.625324156306403
30 6.89323 9.52216e+07 0 7.103665780426219
31 6.64515 9.9032e+07 0 6.878127762268033
32 6.78271 9.66652e+07 0 6.995073576403616
33 6.80336 9.68573e+07 0 7.0305793499107265
34 6.192 1.06031e+08 0 6.429632351553319
35 7.17127 9.18266e+07 0 7.393090271998326
36 6.52749 1.00726e+08 0 6.768586319853253
37 7.47735 8.80959e+07 0 7.752944951105731
38 6.85658 9.57858e+07 0 7.130456121972416
39 6.24521 1.05327e+08 0 6.486600851403451
40 7.51941 8.72947e+07 0 7.807725105374057
41 6.62536 9.93813e+07 0 6.874219775976092
42 6.94622 9.46929e+07 0 7.221938307884518
43 6.6129 9.94971e+07 0 6.8823757492929625
44 7.54437 8.70961e+07 0 7.84941478723872
45 6.92421 9.55824e+07 0 7.0524729866670635
46 7.48267 8.84114e+07 0 7.682157715763122
47 7.60264 8.71567e+07 0 7.786597795013977
48 7.75077 8.51797e+07 0 7.9640712594644505
