# /media/filip/Drive/XY/2023nov/cal_m08_012822_2023-11-15.02-11.root
# analyzed at 2024-11-17 19:15 on debian
# spherCalib: 2.37507e+09
# pixel calibConst adcSum stdCalib calibConstCorr
# nEvents 1567
1 8.35346 1.03037e+08 0 8.516794925486202
2 8.07521 1.06035e+08 0 8.290263398691915
3 9.32726 9.19394e+07 0 9.595183372896873
4 8.33041 1.02892e+08 0 8.562541607620636
5 9.41462 9.11796e+07 0 9.67559482773559
6 9.33682 9.17971e+07 0 9.609653684854756
7 9.98936 8.59532e+07 0 10.338835213216178
8 8.68575 9.85993e+07 0 8.970616805103361
9 8.32924 1.03257e+08 0 8.648501676465814
10 9.60472 8.91775e+07 0 9.922952582329662
11 9.04692 9.50209e+07 0 9.34051199247718
12 8.93413 9.59467e+07 0 9.242136119738566
13 9.64865 8.88312e+07 0 9.967744242786955
14 10.3244 8.28216e+07 0 10.695067458650465
15 9.17386 9.36975e+07 0 9.515607525974294
16 9.0556 9.45481e+07 0 9.355573555515468
17 8.69865 9.88301e+07 0 9.013618382345534
18 8.94996 9.5597e+07 0 9.248118671638672
19 9.45147 9.07922e+07 0 9.791322606170086
20 9.44778 9.07113e+07 0 9.803672319215988
21 8.95438 9.60077e+07 0 9.300787567884969
22 8.2334 1.0408e+08 0 8.540466728251463
23 9.62685 8.9724e+07 0 9.774381851539008
24 9.74678 8.85907e+07 0 9.922694977307476
25 10.3821 8.31524e+07 0 10.630672812281976
26 10.3206 8.35613e+07 0 10.570032734827452
27 9.63836 8.97048e+07 0 9.90792584381467
28 10.1928 8.45102e+07 0 10.537382232122278
29 8.43744 1.0251e+08 0 8.695732157956158
30 9.04736 9.52216e+07 0 9.323556828249885
31 8.72176 9.9032e+07 0 9.02754333488918
32 8.9023 9.66652e+07 0 9.181026978776613
33 8.92941 9.68573e+07 0 9.22763539675783
34 8.127 1.06031e+08 0 8.438892461413731
35 9.4123 9.18266e+07 0 9.703439358318658
36 8.56733 1.00726e+08 0 8.883768896722685
37 9.81403 8.80959e+07 0 10.175748672791858
38 8.99927 9.57858e+07 0 9.358732759594826
39 8.19684 1.05327e+08 0 8.513665564939828
40 9.86923 8.72947e+07 0 10.247643743553125
41 8.69578 9.93813e+07 0 9.022408268160127
42 9.11692 9.46929e+07 0 9.478800527181477
43 8.67944 9.94971e+07 0 9.03312727750961
44 9.90199 8.70961e+07 0 10.302361460147095
45 9.08803 9.55824e+07 0 9.256375251042337
46 9.82101 8.84114e+07 0 10.082837776901396
47 9.97846 8.71567e+07 0 10.219904484973005
48 10.1729 8.51797e+07 0 10.452858298647222
49 9.97287 8.71814e+07 0 10.344647620949239
50 9.78599 8.85274e+07 0 10.084426739875502
51 8.69948 9.98915e+07 0 9.012648066430643
52 8.5572 1.01198e+08 0 8.899232107868508
53 10.1895 8.52652e+07 0 10.539849164795436
54 9.03245 9.60457e+07 0 9.355665229326876
55 8.68358 1.00097e+08 0 9.01970138058987
56 8.88021 9.76345e+07 0 9.263488811291401
57 8.94921 9.70451e+07 0 9.271839443249396
58 8.35518 1.03772e+08 0 8.6849212843816
59 9.70985 8.94276e+07 0 10.111124972981415
60 9.37766 9.25828e+07 0 9.762841705314452
61 8.98528 9.68288e+07 0 9.352152318027251
62 7.85467 1.1045e+08 0 8.169452882837014
63 8.8315 9.85079e+07 0 9.172036479135143
64 8.40256 1.03162e+08 0 8.714590198375156
65 10.4159 8.34902e+07 0 10.784645268065482
66 8.90472 9.74252e+07 0 9.282851334277582
67 9.78975 8.91827e+07 0 10.020149656152368
68 9.7924 8.89098e+07 0 10.02435577135173
69 8.67787 1.00547e+08 0 8.923173622548486
70 8.56317 1.01673e+08 0 8.817108094108665
71 8.8397 9.85871e+07 0 9.096830360136554
72 9.12809 9.53284e+07 0 9.464266932704755
73 8.47637 1.02809e+08 0 8.783053523778614
74 9.2921 9.37637e+07 0 9.589752535266888
75 10.3641 8.42793e+07 0 10.810055798211996
76 8.45237 1.03107e+08 0 8.757801782164789
77 9.07337 9.617e+07 0 9.451880802660918
78 9.76371 8.93715e+07 0 10.11031636888907
79 8.09029 1.07877e+08 0 8.402880957245605
80 8.85153 9.84384e+07 0 9.207795989869867
81 9.65569 9.03363e+07 0 10.064485321606677
82 8.06242 1.08036e+08 0 8.39603810829748
83 8.08904 1.07739e+08 0 8.418379585779189
84 9.14188 9.5221e+07 0 9.47019642940523
85 9.3177 9.36816e+07 0 9.714071817720116
86 9.42546 9.25446e+07 0 9.816963118958135
87 9.31123 9.37268e+07 0 9.712817782378508
88 8.08776 1.07624e+08 0 8.432220169667055
89 8.92511 9.80891e+07 0 9.154124296212805
90 9.0367 9.67609e+07 0 9.30824732404213
91 9.87314 8.87317e+07 0 10.142728184741227
92 8.91175 9.82235e+07 0 9.160775442510682
93 9.6077 9.13156e+07 0 9.929296060379851
